time,lead_i_mV,lead_ii_mV,lead_iii_mV
1.444,-6.62198162,-10.9012499,-4.27926826
1.448,-6.61403131,-10.8868694,-4.27283812
1.452,-6.59509134,-10.8757629,-4.2806716
1.456,-6.61403131,-10.91224,-4.29820871
1.460,-6.6302824,-10.9083815,-4.27809906
1.464,-6.6044445,-10.8920135,-4.28756905
1.468,-6.60163832,-10.8720217,-4.27038336
1.472,-6.61870766,-10.9074459,-4.28873825
1.476,-6.6173048,-10.9097843,-4.29247952
1.480,-6.60877037,-10.9134092,-4.30463886
1.484,-6.59532499,-10.9115381,-4.31621313
1.488,-6.58889484,-10.8886232,-4.29972839
1.492,-6.55580854,-10.8664093,-4.31060076
1.496,-6.56095266,-10.8638372,-4.30288458
1.500,-6.54891062,-10.8237362,-4.27482557
1.504,-6.54551983,-10.7956772,-4.25015736
1.508,-6.56025124,-10.7787247,-4.21847343
1.512,-6.58702421,-10.8210468,-4.23402262
1.516,-6.55615902,-10.787961,-4.23180199
1.520,-6.55300236,-10.8195276,-4.26652527
1.524,-6.5185132,-10.7733469,-4.2548337
1.528,-6.51032925,-10.7533541,-4.24302483
1.532,-6.52143574,-10.7793093,-4.25787354
1.536,-6.5307889,-10.8229179,-4.29212904
1.540,-6.52763224,-10.8176565,-4.29002428
1.544,-6.54633856,-10.8309851,-4.28464651
1.548,-6.53628397,-10.8405714,-4.30428743
1.552,-6.54096031,-10.8755293,-4.33456898
1.556,-6.55417156,-10.9072123,-4.3530407
1.560,-6.57018852,-10.9242821,-4.35409355
1.564,-6.55358696,-10.9178514,-4.36426449
1.568,-6.57089043,-10.9300108,-4.35912037
1.572,-6.58795977,-10.9262695,-4.33830976
1.576,-6.63250351,-10.968358,-4.33585453
1.580,-6.64103842,-10.9895191,-4.3484807
1.584,-6.63343906,-10.9812183,-4.34777927
1.588,-6.61859083,-10.9643831,-4.34579229
1.592,-6.63437414,-10.9877663,-4.35339212
1.596,-6.62771034,-11.0017958,-4.37408543
1.600,-6.61999369,-11.0046015,-4.38460779
1.604,-6.62735939,-11.0023804,-4.37502098
1.608,-6.63390684,-11.0046015,-4.37069464
1.612,-6.6296978,-10.9910393,-4.36134148
1.616,-6.62478733,-10.9878826,-4.36309528
1.620,-6.61473274,-10.9732685,-4.35853577
1.624,-6.62151384,-10.993845,-4.37233114
1.628,-6.63121748,-10.9968853,-4.36566782
1.632,-6.62899637,-10.987649,-4.35865259
1.636,-6.63834953,-10.9794645,-4.341115
1.640,-6.64828682,-11.0168772,-4.36859035
1.644,-6.65097618,-11.0219049,-4.37092876
1.648,-6.6443119,-11.0222549,-4.37794304
1.652,-6.63449097,-10.9830894,-4.34859848
1.656,-6.55195045,-10.8016396,-4.2496891
1.660,-6.44322062,-10.688467,-4.24524641
1.664,-6.17396879,-10.5399876,-4.36601877
1.668,-5.92143583,-10.3580694,-4.43663359
1.672,-5.70912075,-9.92958164,-4.22046089
1.676,-5.59302568,-9.30304241,-3.71001673
1.680,-5.58262014,-8.84532547,-3.26270533
1.684,-5.78534842,-9.05740643,-3.27205801
1.688,-6.09329844,-9.59439087,-3.50109243
1.692,-6.44637728,-10.2222166,-3.77583933
1.696,-6.62899637,-10.5256071,-3.89661074
1.700,-6.81629181,-10.7954435,-3.97915173
1.704,-6.87767124,-10.9349213,-4.05725002
1.708,-6.88456917,-11.0282183,-4.1436491
1.712,-6.8606019,-11.0686703,-4.20806837
1.716,-6.79922247,-11.0487947,-4.24957228
1.720,-6.70498991,-10.9681244,-4.26313448
1.724,-6.66909742,-10.9103689,-4.2412715
1.728,-6.62127972,-10.8834791,-4.2621994
1.732,-6.62583971,-10.8945856,-4.2687459
1.736,-6.62315035,-10.8709688,-4.24781847
1.740,-6.60830259,-10.8846483,-4.27634573
1.744,-6.61145926,-10.8961058,-4.28464651
1.748,-6.5914669,-10.869216,-4.27774906
1.752,-6.57837248,-10.8460665,-4.267694
1.756,-6.59064865,-10.8678122,-4.27716351
1.760,-6.57942486,-10.8569393,-4.27751446
1.764,-6.5696044,-10.8397532,-4.27014875
1.768,-6.56691504,-10.841507,-4.27459192
1.772,-6.5650444,-10.8595114,-4.29446697
1.776,-6.5639925,-10.8318033,-4.26781082
1.780,-6.56060171,-10.8347263,-4.27412462
1.784,-6.53675127,-10.8321543,-4.295403
1.788,-6.55300236,-10.841156,-4.28815365
1.792,-6.51863003,-10.8120451,-4.29341507
1.796,-6.52622938,-10.8356609,-4.30943155
1.800,-6.53464699,-10.8355446,-4.3008976
1.804,-6.51547337,-10.8391685,-4.32369518
1.808,-6.53289318,-10.8520288,-4.31913567
1.812,-6.52318954,-10.8513279,-4.32813835
1.816,-6.51944828,-10.8363628,-4.31691456
1.820,-6.48753071,-10.8115768,-4.32404613
1.824,-6.49583197,-10.7953262,-4.29949427
1.828,-6.50214529,-10.7960281,-4.29388285
1.832,-6.47735929,-10.7754507,-4.29809141
1.836,-6.46379757,-10.7746325,-4.31083488
1.840,-6.44859886,-10.7708912,-4.32229233
1.844,-6.44018078,-10.7525358,-4.31235504
1.848,-6.44333744,-10.7395582,-4.29622078
1.852,-6.43503666,-10.7196836,-4.28464699
1.856,-6.43901157,-10.7372198,-4.29820824
1.860,-6.42439747,-10.7166433,-4.29224586
1.864,-6.40288544,-10.6732683,-4.27038288
1.868,-6.39715672,-10.6646166,-4.26745987
1.872,-6.3796196,-10.6290751,-4.24945545
1.876,-6.37997055,-10.6252174,-4.24524689
1.880,-6.35460043,-10.5914288,-4.23682833
1.884,-6.3533144,-10.5694494,-4.21613503
1.888,-6.35366488,-10.5658255,-4.21216059
1.892,-6.35074186,-10.5647726,-4.21403074
1.896,-6.35109282,-10.5673447,-4.21625185
1.900,-6.34863758,-10.5640717,-4.21543407
1.904,-6.3533144,-10.5348425,-4.18152809
1.908,-6.35039139,-10.5457163,-4.1953249
1.912,-6.33554316,-10.551795,-4.21625185
1.916,-6.34571457,-10.5818424,-4.23612785
1.920,-6.36348581,-10.5964565,-4.23297071
1.924,-6.37435865,-10.6093168,-4.23495817
1.928,-6.37389088,-10.6196051,-4.24571419
1.932,-6.37985373,-10.6383114,-4.25845766
1.936,-6.40943289,-10.6696444,-4.26021147
1.940,-6.42311144,-10.7005091,-4.27739763
1.944,-6.42755413,-10.7125511,-4.28499699
1.948,-6.419487,-10.7252951,-4.30580807
1.952,-6.4386611,-10.7637596,-4.32509851
1.956,-6.44193459,-10.7648115,-4.32287693
1.960,-6.45748425,-10.7872591,-4.32977486
1.964,-6.45011854,-10.7815304,-4.33141184
1.968,-6.46987677,-10.8000031,-4.33012629
1.972,-6.45725012,-10.7828169,-4.32556677
1.976,-6.46636963,-10.8122787,-4.34590912
1.980,-6.47981453,-10.828764,-4.34894943
1.984,-6.47654104,-10.8203459,-4.34380484
1.988,-6.46695423,-10.8084202,-4.34146595
1.992,-6.47046137,-10.8237362,-4.35327482
1.996,-6.47724247,-10.8322706,-4.35502815
2.000,-6.46660328,-10.8239698,-4.35736656
2.004,-6.44731283,-10.8115768,-4.36426401
2.008,-6.45853615,-10.8208132,-4.36227703
2.012,-6.4460268,-10.7975473,-4.35152054
2.016,-6.43129539,-10.7836351,-4.35233974
2.020,-6.42907429,-10.7933388,-4.36426449
2.024,-6.45175552,-10.8060827,-4.3543272
2.028,-6.44555902,-10.8059654,-4.3604064
2.032,-6.44965076,-10.8154354,-4.36578465
2.036,-6.44626045,-10.7952089,-4.34894848
2.040,-6.4532752,-10.8180075,-4.36473227
2.044,-6.46520042,-10.816371,-4.35117054
2.048,-6.43714094,-10.8008213,-4.36368036
2.052,-6.42790508,-10.7897148,-4.36180973
2.056,-6.43959618,-10.8146172,-4.37502098
2.060,-6.4402976,-10.7982492,-4.35795164
2.064,-6.42252684,-10.7767372,-4.35421038
2.068,-6.42977571,-10.7910004,-4.36122465
2.072,-6.43749189,-10.7859735,-4.34848166
2.076,-6.43585491,-10.7742815,-4.33842659
2.080,-6.42077351,-10.7779064,-4.35713291
2.084,-6.4196043,-10.7657471,-4.34614277
2.088,-6.4122386,-10.7589664,-4.34672785
2.092,-6.40569162,-10.7425985,-4.33690691
2.096,-6.3987937,-10.7376881,-4.33889437
2.100,-6.40966654,-10.7616549,-4.35198832
2.104,-6.40861416,-10.7486773,-4.3400631
2.108,-6.38990831,-10.7323103,-4.34240198
2.112,-6.39540291,-10.7339468,-4.33854389
2.116,-6.39505243,-10.7448196,-4.34976721
2.120,-6.39341545,-10.7339468,-4.34053135
2.124,-6.3920126,-10.7291536,-4.33714104
2.128,-6.38944054,-10.7296209,-4.3401804
2.132,-6.39470148,-10.7338295,-4.33912802
2.136,-6.40674353,-10.7333622,-4.32661867
2.140,-6.38745308,-10.7365189,-4.34906578
2.144,-6.38558245,-10.7325439,-4.3469615
2.148,-6.37728167,-10.741312,-4.36403036
2.152,-6.34945583,-10.7054195,-4.35596371
2.156,-6.36243343,-10.7071733,-4.34473991
2.160,-6.3527298,-10.6903381,-4.33760834
2.164,-6.35366488,-10.6175003,-4.26383543
2.168,-6.36383629,-10.6048737,-4.24103737
2.172,-6.3465333,-10.5949364,-4.24840307
2.176,-6.36769438,-10.6213589,-4.25366449
2.180,-6.35576916,-10.6245155,-4.26874638
2.184,-6.33086681,-10.5777502,-4.24688339
2.188,-6.30175543,-10.5558872,-4.25413179
2.192,-6.3083024,-10.5838299,-4.27552748
2.196,-6.32595634,-10.5903769,-4.26442051
2.200,-6.34220743,-10.6007824,-4.25857496
2.204,-6.3471179,-10.6249828,-4.27786493
2.208,-6.33624458,-10.6360903,-4.2998457
2.212,-6.33905077,-10.6511717,-4.31212091
2.216,-6.32361794,-10.6586542,-4.33503628
2.220,-6.32104588,-10.6455603,-4.32451439
2.224,-6.34571457,-10.6570177,-4.31130314
